text,violence,sexual,profanity,alcohol_drugs,scary,sev_violence,sev_sexual,sev_profanity,sev_alcohol_drugs,sev_scary,sev_violence_num,sev_sexual_num,sev_profanity_num,sev_alcohol_drugs_num,sev_scary_num
"(00:12)

На раковине в ванной – яркое пятно крови. Молодая, очень худая женщина (МАРИНА), кашляет и сплёвывает очередной сгусток, включает воду, смывает кровь, ополаскивает лицо и выходит из ванной. [ep: v=Mild]

[Labels: v=Mild, sc=None, p=None, s=None, a=None]

1-4-В. ИНТ. КВАРТИРА БОКОВА.КОМНАТА НОЧЬ 1. 
БОКОВ, МАРИНА, милиционер 1 (01:38)

Марина заходит в комнату и ложится на диван. Берёт с",1,0,0,0,0,Mild,None,None,None,None,0.33,0.0,0.0,0.0,0.0
"яется Боков с тарелкой супа-пюре.

БОКОВ
Ты всё-таки самая женщина из всех женщин в мире - никогда не делаешь того, что тебе говорят.
(забирает сигарету, делает затяжку)
Врач сказал не курить и есть. [ep: a=Mild]

МАРИНА
(очень сиплым, практически неразличимым голосом)
Мне больно есть.

БОКОВ
Это смотря что. Попробуй
(кормит жену из ложки)
Если перестанешь капризничать, всё скоро пройдёт.

Жена пр",0,0,0,1,0,None,None,None,Mild,None,0.0,0.0,0.0,0.33,0.0
"БОКОВ
Тут такое дело… Манюнь… Мне надо улететь в Москву. Но я одним днём постараюсь. Маме позвоню, чтоб следила за тобой.

МАРИНА
Не надо маму.

Боков нежно целует плачущую жену, прижимает к груди. [ep: s=Mild]

[Labels: v=None, sc=None, p=None, s=Mild, a=Mild]

1-5. НАТ. АЭРОПОРТ МОСКВЫ.СТОЯНКА МИЛИЦЕЙСКИЙ “БОБИК” НОЧЬ 1. 
БОКОВ, пассажиры (25) (00:30)

Дождь льёт стеной, из аэропорта выходит т",0,1,0,0,0,None,Mild,None,None,None,0.0,0.33,0.0,0.0,0.0
"стоянки несколько раз “моргает” дальний свет. Боков видит, что сигналы подаёт милицейский УАЗик и идёт к нему. По дороге к машине пытается курить - безуспешно. Сплёвывает досадливо. Залезает в УАЗик. [ep: a=Mild]

[Labels: v=None, sc=None, p=None, s=None, a=Mild]

1-6. НАТ. АЭРОПОРТ МОСКВЫ.СТОЯНКА МИЛИЦЕЙСКИЙ “БОБИК” НОЧЬ 1. 
БОКОВ, ДОБРОВОЛЬСКАЯ (01:39)

Боков наконец-то нормально закуривает и не",0,0,0,1,0,None,None,None,Mild,None,0.0,0.0,0.0,0.33,0.0
"None, p=None, s=None, a=Mild]

1-6. НАТ. АЭРОПОРТ МОСКВЫ.СТОЯНКА МИЛИЦЕЙСКИЙ “БОБИК” НОЧЬ 1. 
БОКОВ, ДОБРОВОЛЬСКАЯ (01:39)

Боков наконец-то нормально закуривает и недоумённо смотрит на водительницу. [ep: a=Mild]
ДОБРОВОЛЬСКАЯ
Здравствуйте, следователь Одинцовской прокуратуры Наталья Добровольская. Добро пожаловать.
БОКОВ
Да какой вы следователь, вы ж даже ж не мужчина.
Хмыкает. Добровольская трог",0,0,0,1,0,None,None,None,Mild,None,0.0,0.0,0.0,0.33,0.0
"ает со стоянки.
ДОБРОВОЛЬСКАЯ
Как в Ростове? Лето уже вовсю?
Добровольская резко тормозит на светофоре и Боков чуть не влетает головой в стекло.
БОКОВ
В Ростове говорят: “За рулём пизда…Это не езда”. [ep: p=Severe]
(Слово “пизда” Боков произносит одними губами, не вслух.) Добровольская трогается с места. Дождь заливает стекло, практически ничего не видно. Едут молча. Молча выезжают на Рублёвку, ма",0,0,1,0,0,None,None,Severe,None,None,0.0,0.0,1.0,0.0,0.0
"остова. У нас таких нет. Тут район спокойный, Рублёвка. Ну тут учёные же, правительство, артисты живут. Иногда по пьяни пошумит кто-нибудь или обворуют. Да и всё. Ну, деревенские ещё могут подраться. [ep: v=Severe]
БОКОВ
Остановите на минуту.
Выходит отлить. Возвращается. [ep: s=Moderate]
БОКОВ
А что-то пустынно как-то у вас. И фонарей нет. А ещё правительство.
ДОБРОВОЛЬСКАЯ
Всё будет. Ресторан во",1,0,0,0,0,Severe,None,None,None,None,1.0,0.0,0.0,0.0,0.0
"правительство, артисты живут. Иногда по пьяни пошумит кто-нибудь или обворуют. Да и всё. Ну, деревенские ещё могут подраться. [ep: v=Severe]
БОКОВ
Остановите на минуту.
Выходит отлить. Возвращается. [ep: s=Moderate]
БОКОВ
А что-то пустынно как-то у вас. И фонарей нет. А ещё правительство.
ДОБРОВОЛЬСКАЯ
Всё будет. Ресторан вон уже строить начинают, прям вдоль дороги. Скоро не узнаем Рублёвку. Дере",0,1,0,0,0,None,Moderate,None,None,None,0.0,0.66,0.0,0.0,0.0
"квозь ливень и темноту. Сворачивают с Рублёвки, машину начинает трясти. Добровольская прибавляет газ.
БОКОВ
Больше скорость, меньше ям,
Добровольская подхватывает.
ДОБРОВОЛЬСКАЯ
Больше ебли слесарям. [ep: p=Severe]

[Labels: v=None, sc=None, p=Severe, s=Moderate, a=Mild]

1-7. ИНТ. ОТДЕЛЕНИЕ МИЛИЦИИ ОДИНЦОВО.ДЕЖУРКА КОРИДОР У КПЗ НОЧЬ 1. 
БОКОВ, ДОБРОВОЛЬСКАЯ, ХВАН, ПАНОВ, ДЕЖУРНЫЙ 1 (00:38)

В от",0,0,1,0,0,None,None,Severe,None,None,0.0,0.0,1.0,0.0,0.0
"евысокий, коротко стриженный человек в наручниках, смотрит в одну точку (ПАНОВ).

ХВАН
Это отец Панова убитого, раз по статистике чаще всего убийца - близкий родственник - так и на всякий случай вот. [ep: v=Mild]

БОКОВ
Что говорит?

ХВАН
Ничего не говорит. Вообще молчит.

Хван распахивает дверь в кабинет.

[Labels: v=Mild, sc=None, p=None, s=None, a=None]

1-8. ИНТ. ОТДЕЛЕНИЕ МИЛИЦИИ ОДИНЦОВО.КАБ",1,0,0,0,0,Mild,None,None,None,None,0.33,0.0,0.0,0.0,0.0
"1:04)

Стол, стул, портрет Горбачёва на стене.

Боков открывает свой “дипломат”, вынимает оттуда пакет и отдаёт Хвану. В пакете - вяленая рыба.

ХВАН
Ого! Донская! Вещь!

БОКОВ
Шамайку с пивком надо. [ep: a=Mild]

Входит Добровольская. Принюхивается, делает «недовольное лицо», открывает форточку.

Хван выходит. На столе лежит Дело. Боков открывает папку, там фотографии и первые протоколы. Фотограф",0,0,0,1,0,None,None,None,Mild,None,0.0,0.0,0.0,0.33,0.0
"пку, там фотографии и первые протоколы. Фотографии страшные. Изувеченный детский труп: синяки на шее, перерезанное горло, распоротый живот, разрезанная мошонка. Боков перелистывает фотографии и дело. [ep: v=Severe, sc=Severe]

БОКОВ
Время смерти установили?

ДОБРОВОЛЬСКАЯ
Нет пока.

БОКОВ
А нашли его?

ДОБРОВОЛЬСКАЯ
Отец вышел на дорогу в полдевятого вечера сегодня.

БОКОВ
Что эксперты? И по месту",1,0,0,0,1,Severe,None,None,None,Severe,1.0,0.0,0.0,0.0,1.0
"?

Панов молчит.

БОКОВ
Лупу принесите мне.

Хван выходит. Боков внезапно хватает Добровольскую за шею. Большой палец отставляет в сторону.

БОКОВ
Вот так перерезали горло тебе. Артерию! Крови много? [ep: v=Severe]

Добровольская несколько шокирована.

ДОБРОВОЛЬСКАЯ
Много.

БОКОВ
Ты видишь брызги на одежде? Хоть где-нибудь?

ДОБРОВОЛЬСКАЯ
Он мог подойти сзади и кровь тогда брызжет в другую сторону",1,0,0,0,0,Severe,None,None,None,None,1.0,0.0,0.0,0.0,0.0
"де-нибудь?

ДОБРОВОЛЬСКАЯ
Он мог подойти сзади и кровь тогда брызжет в другую сторону.

Хван приносит лупу. Боков берёт лупу и, орудуя ручкой, как ножом, делает движение в районе лобка Добровольской. [ep: v=Mild]

БОКОВ
А потом вырезали все между ног! И бедренная артерия тоже задета! Кровь что делает? [ep: v=Mild]

Добровольская молчит.

БОКОВ
Свищет кровь! Фонтаном! И со спины так не вырежешь! [e",1,0,0,0,0,Mild,None,None,None,None,0.33,0.0,0.0,0.0,0.0
"упу. Боков берёт лупу и, орудуя ручкой, как ножом, делает движение в районе лобка Добровольской. [ep: v=Mild]

БОКОВ
А потом вырезали все между ног! И бедренная артерия тоже задета! Кровь что делает? [ep: v=Mild]

Добровольская молчит.

БОКОВ
Свищет кровь! Фонтаном! И со спины так не вырежешь! [ep: v=Mild]

ДОБРОВОЛЬСКАЯ
Он мог снять одежду. Шёл дождь, всю кровь смыл. Панов, снимите одежду.

Панов",1,0,0,0,0,Mild,None,None,None,None,0.33,0.0,0.0,0.0,0.0
". [ep: v=Mild]

БОКОВ
А потом вырезали все между ног! И бедренная артерия тоже задета! Кровь что делает? [ep: v=Mild]

Добровольская молчит.

БОКОВ
Свищет кровь! Фонтаном! И со спины так не вырежешь! [ep: v=Mild]

ДОБРОВОЛЬСКАЯ
Он мог снять одежду. Шёл дождь, всю кровь смыл. Панов, снимите одежду.

Панов не реагирует. Добровольская снимает с него свитер, как с куклы. Расстёгивает рубашку. Боков с",1,0,0,0,0,Mild,None,None,None,None,0.33,0.0,0.0,0.0,0.0
"кая снимает с него свитер, как с куклы. Расстёгивает рубашку. Боков с лупой смотрит сам и показывает Добровольской.

БОКОВ
Ни одной капли крови! Ни одной!

ДОБРОВОЛЬСКАЯ
У него руки были все в крови! [ep: v=Mild]

БОКОВ
Конечно, он нёс растерзанного ребёнка! Оденьте Панова, как было. [ep: v=Severe]

Поворачивается к Панову.

БОКОВ
Соболезную.

ДОБРОВОЛЬСКАЯ
Витя, одень Панова, пожалуйста.

Выходит",1,0,0,0,0,Mild,None,None,None,None,0.33,0.0,0.0,0.0,0.0
"ам и показывает Добровольской.

БОКОВ
Ни одной капли крови! Ни одной!

ДОБРОВОЛЬСКАЯ
У него руки были все в крови! [ep: v=Mild]

БОКОВ
Конечно, он нёс растерзанного ребёнка! Оденьте Панова, как было. [ep: v=Severe]

Поворачивается к Панову.

БОКОВ
Соболезную.

ДОБРОВОЛЬСКАЯ
Витя, одень Панова, пожалуйста.

Выходит. Боков выходит за ней.

[Labels: v=Severe, sc=None, p=None, s=None, a=None]

1-10. И",1,0,0,0,0,Severe,None,None,None,None,1.0,0.0,0.0,0.0,0.0
"тские шалости, наверняка.
Подходит Хван.
БОКОВ
Знаешь, кто такой хороший свидетель? Тот, кто пока живой. Какогохеравы вообще ничего не сделали?! Вообще! Ничего!!!! Поехали. Виктор, ты давай за рулём. [ep: p=Moderate]
Добровольская открывает рот, чтобы возмутиться, щеки её пылают.
БОКОВ
А ты, Наталья, иди веди своё расследование, как ты умеешь. Доказывай, что это Панов, или ещё, может, какие мысли",0,0,1,0,0,None,None,Moderate,None,None,0.0,0.0,0.66,0.0,0.0
"ывайте.

Дверь открывается щёлочкой, за ней крепко выпивший и, судя по всему, только проснувшийся Мальцев. Он пытается соображать, но получается с трудом. Оборачивается в дом. Слышны детские рыдания. [ep: a=Mild]

МАЛЬЦЕВ
Мааааш! Мааааш! Подойди, пожалуйста!

[Labels: v=None, sc=None, p=None, s=None, a=Mild]

1-12. ИНТ. ДАЧА МАЛЬЦЕВЫХ.ГОСТИНАЯ НОЧЬ 1. 
БОКОВ, ХВАН, МАЛЬЦЕВА, ИГОРЬ, МАЛЬЦЕВ, собака",0,0,0,1,0,None,None,None,Mild,None,0.0,0.0,0.0,0.33,0.0
"а начала лаять. Я посмотрел - а там лес раздвинулся и оттуда выходит человек. Огромный, высоченный, настоящий великан. И весь в крови... И у него волосы белые, длинные. И он как зарычит! На весь лес! [ep: v=Mild]

МАЛЬЦЕВ
Молодец, больше деталей - тогда точно поверят.

Игорь не считывает иронии, воспринимает слова отца как поддержку.

ИГОРЬ
Вы “Сказку за сказкой про сказочное путешествие мистера Б",1,0,0,0,0,Mild,None,None,None,None,0.33,0.0,0.0,0.0,0.0
"путешествие мистера Бильбо Беггинса, Хоббита, через дикий край, чёрный лес, за туманные горы” видели? Вот он как Гендальф был, только весь в крови. И руки, и волосы белые, и мальчик у него на руках. [ep: v=Mild]

БОКОВ
Это во сколько было?

ИГОРЬ
Не знаю.

БОКОВ
Он во сколько гулял?

МАЛЬЦЕВА
В начале девятого дома был.

БОКОВ
А можешь нарисовать?

МАЛЬЦЕВА
Да он вам сейчас нарисует… Он просто оч",1,0,0,0,0,Mild,None,None,None,None,0.33,0.0,0.0,0.0,0.0
"Прибегает Игорь. Он принёс фломастеры. Начинает быстро дорисовывать: огромный человек с длинными ногами, много красного, всё в крови, маленький мальчик с маленькой собакой. Боков внимательно смотрит. [ep: v=Mild]

БОКОВ
Ничего не перепутал? Огромный человек с длинными волосами?

ИГОРЬ
Честное слово!

БОКОВ
Что ещё рассмотрел? Одет как был человек?

ИГОРЬ
Больше ничего не рассмотрел. Я испугался оч",1,0,0,0,0,Mild,None,None,None,None,0.33,0.0,0.0,0.0,0.0
"шёл искать его.

ПАНОВА
Он очень злой был, что в выходной надо идти куда-то, мы же отдыхать сюда приезжали. Говорил всё: «Найду – убью».

ДОБРОВОЛЬСКАЯ
То есть вы считаете, что ваш муж мог его убить? [ep: v=Mild]

ПАНОВА
(вдруг задумывается)
Я вот Андрея опознавала. Ну вот сказала, что он. А сейчас думаю - нет. Не он это. Это не мой сын.

Панова внезапно начинает плакать. Резко, словно открыли кра",1,0,0,0,0,Mild,None,None,None,None,0.33,0.0,0.0,0.0,0.0
"вот Андрея опознавала. Ну вот сказала, что он. А сейчас думаю - нет. Не он это. Это не мой сын.

Панова внезапно начинает плакать. Резко, словно открыли кран.

ДОБРОВОЛЬСКАЯ
Мог ваш зять убить внука? [ep: v=Mild]

БАБУШКА ПАНОВА
Ну он же у нас афганец. На него находит иногда. Мог его ударить. Побить даже мог. Ну чтоб не курил, за дело. Но чтоб убить - ну не знаю. [ep: v=Mild]

ДОБРОВОЛЬСКАЯ
Можно",1,0,0,0,0,Mild,None,None,None,None,0.33,0.0,0.0,0.0,0.0
"ОЛЬСКАЯ
Мог ваш зять убить внука? [ep: v=Mild]

БАБУШКА ПАНОВА
Ну он же у нас афганец. На него находит иногда. Мог его ударить. Побить даже мог. Ну чтоб не курил, за дело. Но чтоб убить - ну не знаю. [ep: v=Mild]

ДОБРОВОЛЬСКАЯ
Можно посмотреть комнату мальчика?

БАБУШКА ПАНОВА
Да у него нет комнаты тут, он вот здесь на диване спал.

ДОБРОВОЛЬСКАЯ
А вещи какие-то есть Андрея?

БАБУШКА ПАНОВА
Ну во",1,0,0,0,0,Mild,None,None,None,None,0.33,0.0,0.0,0.0,0.0
"т внимание на стоящую за стеклом стереоткрытку с подмигивающей японкой, а за ней видит ручку с девушкой в купальнике. Открывает стекло - переворачивает ручку, девушка на картинке остаётся обнажённой. [ep: s=Severe]

[Labels: v=Mild, sc=None, p=None, s=Severe, a=None]

1-14. НАТ. МИЛИЦЕЙСКИЙ АВТОМОБИЛЬ НОЧЬ 1. 
БОКОВ, ХВАН (01:04)

Едут.  Боков смотрит на рисунок.

ХВАН
Я думаю, врёт он все.

БОКОВ",0,1,0,0,0,None,Severe,None,None,None,0.0,1.0,0.0,0.0,0.0
", sc=None, p=None, s=None, a=None]

1-15. ИНТ. МОРГ.ПРОЗЕКТОРСКАЯ НОЧЬ 1. 
БОКОВ, ДОБРОВОЛЬСКАЯ, ЭКСПЕРТ, труп Андрея Панова (01:55)

На столе - труп ребёнка. Вокруг - Боков, Добровольская и ЭКСПЕРТ. [ep: v=Severe, sc=Mild]
БОКОВ
Время смерти?
ЭКСПЕРТ
5-6 часов вечера.
БОКОВ
Изнасилован?
ЭКСПЕРТ
Нет, следов изнасилования нет.
Боков внимательно рассматривает повреждения. Смотрит на зияющую дыру на",1,0,0,0,1,Severe,None,None,None,Mild,1.0,0.0,0.0,0.0,0.33
"БОКОВ
Время смерти?
ЭКСПЕРТ
5-6 часов вечера.
БОКОВ
Изнасилован?
ЭКСПЕРТ
Нет, следов изнасилования нет.
Боков внимательно рассматривает повреждения. Смотрит на зияющую дыру на месте половых органов. [ep: v=Severe]
БОКОВ
Края повреждений вялые, ткани в глубине бледные, края ран не зияют, кровоизлияния отсутствуют. Правильно понимаю, шо это всё он отрезал после смерти? [ep: v=Severe]
ЭКСПЕРТ
Да, вс",1,0,0,0,0,Severe,None,None,None,None,1.0,0.0,0.0,0.0,0.0
"ру на месте половых органов. [ep: v=Severe]
БОКОВ
Края повреждений вялые, ткани в глубине бледные, края ран не зияют, кровоизлияния отсутствуют. Правильно понимаю, шо это всё он отрезал после смерти? [ep: v=Severe]
ЭКСПЕРТ
Да, все верно.
ДОБРОВОЛЬСКАЯ
Значит, в момент нанесения повреждений, кровь уже не брызгала из трупа?
ЭКСПЕРТ
Ну фонтаном не била, да.
Добровольская победно смотрит на Бокова, то",1,0,0,0,0,Severe,None,None,None,None,1.0,0.0,0.0,0.0,0.0
"онтаном не била, да.
Добровольская победно смотрит на Бокова, тот не обращает на неё внимания, осматривает тело дальше.
БОКОВ
То есть сначала он задушил мальчика, потом… потом, уже мёртвому, отрезал… [ep: v=Severe]
Косится на Добровольскую и не договаривает фразу.
БОКОВ
Потом перерезал горло. [ep: v=Severe]
ЭКСПЕРТ
Скорее, горло перерезал, пока мальчик был ещё жив. Слишком много крови. А всё остал",1,0,0,0,0,Severe,None,None,None,None,1.0,0.0,0.0,0.0,0.0
"осматривает тело дальше.
БОКОВ
То есть сначала он задушил мальчика, потом… потом, уже мёртвому, отрезал… [ep: v=Severe]
Косится на Добровольскую и не договаривает фразу.
БОКОВ
Потом перерезал горло. [ep: v=Severe]
ЭКСПЕРТ
Скорее, горло перерезал, пока мальчик был ещё жив. Слишком много крови. А всё остальное да, так. [ep: v=Severe]
Боков выразительно смотрит на Добровольскую.
БОКОВ
Следов спермы",1,0,0,0,0,Severe,None,None,None,None,1.0,0.0,0.0,0.0,0.0
"Косится на Добровольскую и не договаривает фразу.
БОКОВ
Потом перерезал горло. [ep: v=Severe]
ЭКСПЕРТ
Скорее, горло перерезал, пока мальчик был ещё жив. Слишком много крови. А всё остальное да, так. [ep: v=Severe]
Боков выразительно смотрит на Добровольскую.
БОКОВ
Следов спермы совсем нет?
ЭКСПЕРТ
Возможно, смыло всё дождём, не исключаю такого варианта.
ДОБРОВОЛЬСКАЯ
А во рту смотрели?
БОКОВ
Прия",1,0,0,0,0,Severe,None,None,None,None,1.0,0.0,0.0,0.0,0.0
"овольскую.
БОКОВ
Следов спермы совсем нет?
ЭКСПЕРТ
Возможно, смыло всё дождём, не исключаю такого варианта.
ДОБРОВОЛЬСКАЯ
А во рту смотрели?
БОКОВ
Приятно иметь дело с профессионалом в своей области. [ep: s=Mild]
ЭКСПЕРТ
Ещё не дошли.
БОКОВ
Отчёт по характеру повреждений подробный во сколько сделаете?
ЭКСПЕРТ
48 часов обычно.
БОКОВ
Мне завтра в Генке докладывать, и я улетаю вечером, так шо постара",0,1,0,0,0,None,Mild,None,None,None,0.0,0.33,0.0,0.0,0.0
"контуженный он, говорят. Я его, по-честному если, давно хотел уволить. На партком вызывал.

ХВАН
За что?

ДИРЕКТОР
Он несколько раз избивал пассажиров. Кто-то ему замечания делал - он сразу в драку. [ep: v=Mild]

ХВАН
А вы что скажете?

ВОДИТЕЛЬ
Нормальный он мужик. Всегда поможет, прикроет, ну горячий да, как чайник - раз, и засвистел уже.

ХВАН
В субботу работал? По минутам расписание дайте его",1,0,0,0,0,Mild,None,None,None,None,0.33,0.0,0.0,0.0,0.0
"=None]

1-17. НАТ. АВТОБУС.КАБИНА НОЧЬ 1. 
ХВАН, водитель (00:12)

Рядом с вымпелом, висящем на лобовом стекле, - наклейка с девушкой в купальнике. На торпеде - календарик с переливающейся красоткой. [ep: s=Moderate]

ХВАН
Он озабоченный, что ли?

ВОДИТЕЛЬ
Нууу… просто же красиво. Чего сразу озабоченный?

[Labels: v=None, sc=None, p=None, s=Moderate, a=None]

1-18. ИНТ. ОТДЕЛЕНИЕ МИЛИЦИИ ОДИНЦОВО.",0,1,0,0,0,None,Moderate,None,None,None,0.0,0.66,0.0,0.0,0.0
"зговора Боков резко кладёт трубку, закуривает.

Мы видим только очень быстро сгорающую сигарету, так бывает, когда человек делает одну затяжку за другой, то есть курит не в удовольствие, а от нервов. [ep: a=Mild]

[Labels: v=None, sc=None, p=None, s=None, a=Mild]

1-19. НАТ. ЛЕС.ЧАЩА УТРО 2. 
 сотрудник милиции 3, курсанты военные (25), сотрудники милиции (24)(00:05)

Масштабная сцена. Цепь курсан",0,0,0,1,0,None,None,None,Mild,None,0.0,0.0,0.0,0.33,0.0
"риводит к месту трагедии. Похоже, крови было много, но сейчас она осталась только некоторых лужицах. Красная вода… никаких предметов или одежды. Кинолог останавливается и вызывает по рации экспертов. [ep: v=Mild]

[Labels: v=Mild, sc=None, p=None, s=None, a=None]

1-19- D. НАТ. ЛЕС.МЕСТО УБИЙСТВА УТРО 2. 
БОКОВ, ДОБРОВОЛЬСКАЯ, ЭКСПЕРТ, ЭКСПЕРТ-ФОТОГРАФ, ЭКСПЕРТ 1, КИНОЛОГ, немецкая овчарка

Боков",1,0,0,0,0,Mild,None,None,None,None,0.33,0.0,0.0,0.0,0.0
"ОБРОВОЛЬСКАЯ
Убийца подошёл сзади и сразу стал его душить. Вы там если обратили внимание, следы на шее характерные, снизу вверх, то есть с большой высоты как бы. Вряд ли убийца такого высокого роста. [ep: v=Mild]
БОКОВ
А вот Игорь Мальцев говорит, что видел с мальчиком человека очень высокого роста!
ДОБРОВОЛЬСКАЯ
Ну вы не соизволили же отчёт написать, откуда я бы про это узнала, по-вашему?
ЭКСПЕРТ",1,0,0,0,0,Mild,None,None,None,None,0.33,0.0,0.0,0.0,0.0
"ил, вступил в контакт, возможно попросил продать рыбу, Андрей стал рыбу показывать, и тут он его задушил. Потом тащил. Довольно далеко.
Боков и Эксперт идут по поляне с кровью. Добровольская за ними. [ep: v=Mild]
БОКОВ
Раздел. Насиловать не стал, но резал ножом. Вот здесь. Потом забрал все его вещи и куда-то спрятал. [ep: v=Severe]
ЭКСПЕРТ
Или унёс с собой. Как фетиш.
БОКОВ
Хуёво. [ep: p=Severe]
О",1,0,0,0,0,Mild,None,None,None,None,0.33,0.0,0.0,0.0,0.0
